2025-06-17 00:26:02,363 INFO:✅ 바이낸스 마켓 정보 로딩 성공.
2025-06-17 00:26:02,426 INFO:✅ [XRPUSDT] 레버리지 10배 설정
2025-06-17 00:26:02,475 INFO:ℹ️ [XRPUSDT] 설정 변경 필요 없음
2025-06-17 00:26:02,523 INFO:✅ [SOLUSDT] 레버리지 10배 설정
2025-06-17 00:26:02,572 INFO:ℹ️ [SOLUSDT] 설정 변경 필요 없음
2025-06-17 00:26:02,641 INFO:✅ [ETHUSDT] 레버리지 10배 설정
2025-06-17 00:26:02,690 INFO:ℹ️ [ETHUSDT] 설정 변경 필요 없음
2025-06-17 01:23:00,598 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 9/11점, 숏: 1/11점
2025-06-17 01:23:00,884 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:24:01,107 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 2/11점, 숏: 6/11점
2025-06-17 01:24:01,389 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:24:01,662 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:25:00,911 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 3/11점, 숏: 4/11점
2025-06-17 01:25:01,188 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 6/11점, 숏: 4/11점
2025-06-17 01:25:01,487 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 6/11점, 숏: 4/11점
2025-06-17 01:26:00,719 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 2/11점, 숏: 3/11점
2025-06-17 01:26:01,011 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:26:01,306 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:27:00,533 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 5/11점, 숏: 0/11점
2025-06-17 01:27:00,827 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 6/11점, 숏: 4/11점
2025-06-17 01:27:01,096 INFO:⚪ [ETH/USDT] 대기 (trending) | 롱: 5/11점, 숏: 3/11점
2025-06-17 01:28:00,311 INFO:⚪ [XRP/USDT] 대기 (trending) | 롱: 2/11점, 숏: 3/11점
2025-06-17 01:28:00,614 INFO:⚪ [SOL/USDT] 대기 (trending) | 롱: 5/11점, 숏: 6/11점
